"Alex Hegenbarth","Q75838869","2019 United Kingdom general election","Tewkesbury","Liberal Democrats"
"Alistair Cameron","Q63865614","2019 United Kingdom general election","Carmarthen West and South Pembrokeshire","Liberal Democrats"
"Brian Jones",,,,
"Cait Clucas",,,,
"Cate Cody","Q75975173","2019 United Kingdom general election","Tewkesbury","Green Party of England and Wales"
"Charles Mannan",,,,
"Charles Vernall",,,,
"Ed Buxton",,,,
"George Ridgeon","Q76130513","2019 United Kingdom general election","Cheltenham","Official Monster Raving Loony Party"
"Jemma Clarke",,,,
"John Arthur Fowler",,,,
"John Sewell",,,,
"Joseph Peel",,,,
"Keir Dhillon",,,,
"Kelvin Tustin",,,,
"Lara Chaplin",Q76363862,,,
"Manjinder Singh Kang",,,,
"Matthew Sidford",,,,
"Robert Rendell",,,,
"Simon Collins",,,,
"Stuart Adair",,,,
"Stuart Emmerson",,,,
"William J. Boosey",,,,
